companyName,arr,country,domain,growthRate,headquarters,numberOfLocations,source,teamSize,website,year
Delhivery,89320,India,Logistics & Transportation,Low,"Gurgaon, Haryana",5,Ambition box,5000,delhivery.com,2011
Mahindra Logistics,61048,India,Logistics & Transportation,Low,"Mumbai,Maharashtra, India",2,Ambition box,5000,mahindralogistics.com,1945
Maersk,482000,India,Logistics & Transportation,Low,"Copenhagen, Denmark",130,Ambition box,103000,maersk.com,1904
DTDC Express,22560,India,Logistics & Transportation,Low,"Bangalore/Bengaluru, Karnataka, India",1,Ambition box,5000,dtdc.in,1990
ElasticRun,24348,India,Logistics & Transportation,Low,"Pune, Maharashtra, India",1,Ambition box,5000,elastic.run,2016
Blue Dart Express Ltd,57980,India,Logistics & Transportation,Medium,"Mumbai,Maharashtra, India",2,Ambition box,12500,bluedart.com,1983
GATI-KWE,2075,India,Logistics & Transportation,Low,"Hyderabad, Telangana",2,Ambition box,5000,gati.com,2012
Safexpress,35100,India,Logistics & Transportation,Medium,"Gurgaon / Gurugram, Haryana, India",2,Ambition box,4800,safexpress.com,1997
Shadowfax Technologies,18848,India,Logistics & Transportation,Medium,"Bangalore,Karnataka, India",12,Ambition box,5000,shadowfax.in,2015
DHL Express,50000,India,Logistics & Transportation,Medium,"Bonn, Germany",15,Ambition box,5000,dhl.com,1979
FedEx Express,62,India,Logistics & Transportation,High,"Moon Township, United States (USA)",3,Ambition box,5000,fedex.com,1971
DP World,16,India,Logistics & Transportation,High,Dubai,3,Ambition box,1000,dpworld.com,2005
Parekh Integrated Services,28110,India,Logistics & Transportation,Low,"Mumbai, Maharashtra, India",2,Ambition box,5000,pispl.in,1981
Ups Logistics,900,India,Logistics & Transportation,Medium,"Atlanta, Georgia, United States (USA)",1,Ambition box,5000,ups.com,1907
Future Supply Chain Solutions,6088,India,Logistics & Transportation,High,"Mumbai, Maharashtra, India",1,Ambition box,5000,futuresupplychains.com,2006
V-Trans,30000,India,Logistics & Transportation,Low,"Mumbai, Maharashtra, India",5,Ambition box,5000,vtransgroup.com,1958
